S.no,College Name,City,State,ESTD,Fees Per Year
220,"Government Medical College and ESI Hospital",Coimbatore,Tamil Nadu,2016,"18,073"
221,"Government Villupuram Medical College (GVMC)",Villupuram,Tamil Nadu,2010,"18,073"
222,"Government Thoothukudi Medical College",Thoothukudi,Tamil Nadu,2000,"13,610"
223,"Kanyakumari Government Medical College",Asaripallam,Tamil Nadu,2003,"13,610"
224,"Government Thiruvarur Medical College (GTMC)",Thiruvarur,Tamil Nadu,2010,"15,023"
225,"Government Sivagangai Medical College",Sivagangai,Tamil Nadu,2012,"13,610"
226,"Government Pudukkottai Medical College Hospital",Pudukkottai,Tamil Nadu,2017,"18,073"
227,"Government Medical College, Karur",Karur,Tamil Nadu,2019,"18,073"
228,"Government Medical College, Ariyalur",Ariyalur,Tamil Nadu,2021,"19,863"
229,"Government Medical College, Dindigul",Dindigul,Tamil Nadu,2021,"13,610"
230,"Government Medical College, Kallakurichi",Kallakurichi,Tamil Nadu,2021,"15,033"
231,"Government Medical College, Krishnagiri",Krishnagiri,Tamil Nadu,2021,"15,033"
232,"Government Medical College, Nagapattinam",Nagapattinam,Tamil Nadu,2021,"15,350"
233,"Government Medical College, Namakkal",Namakkal,Tamil Nadu,2021,"18,083"
234,"Government Medical College, Nilgiris",Ooty,Tamil Nadu,2021,"15,403"
235,"Government Medical College, Ramanathapuram",Ramanathapuram,Tamil Nadu,2021,"18,083"
236,"Government Medical College, Thiruvallur",Thiruvallur,Tamil Nadu,2021,"15,350"
237,"AIIMS Gorakhpur",Gorakhpur,Uttar Pradesh,2019,"42,000"
238,"AIIMS Raebareli",Raebareli,Uttar Pradesh,2019,"5,826"
239,"Institute of Medical Sciences, BHU",Varanasi,Uttar Pradesh,1960,"29,874"
240,"Jawaharlal Nehru Medical College, AMU",Aligarh,Uttar Pradesh,1961,"46,340"
241,"King George's Medical University",Lucknow,Uttar Pradesh,1911,"54,600"
242,"Dr. Ram Manohar Lohia Institute of Med Sciences",Lucknow,Uttar Pradesh,2012,"18,000"
243,"GSVM Medical College",Kanpur,Uttar Pradesh,1955,"36,000"
244,"Moti Lal Nehru Medical College",Prayagraj,Uttar Pradesh,1961,"42,000"
245,"LLRM Medical College",Meerut,Uttar Pradesh,1966,"42,000"
246,"Government Institute of Medical Sciences",Greater Noida,Uttar Pradesh,2019,"83,600"
247,"S N Medical College",Agra,Uttar Pradesh,1939,"36,000"
248,"BRD Medical College",Gorakhpur,Uttar Pradesh,1972,"42,000"
249,"Maharani Laxmi Bai Medical College",Jhansi,Uttar Pradesh,1968,"42,000"
250,"UP University of Medical Sciences",Saifai,Uttar Pradesh,2006,"42,000"
251,"Government Medical College",Saharanpur,Uttar Pradesh,2015,"32,000"
252,"Government Medical College",Ambedkar Nagar,Uttar Pradesh,2011,"36,000"
253,"Government Medical College",Kannauj,Uttar Pradesh,2012,"36,000"
254,"Government Medical College",Jalaun,Uttar Pradesh,2011,"40,800"
255,"Government Medical College",Azamgarh,Uttar Pradesh,2013,"40,800"
256,"Government Medical College",Banda,Uttar Pradesh,2016,"40,800"
257,"Government Medical College",Ayodhya,Uttar Pradesh,2019,"40,800"
258,"Government Medical College",Firozabad,Uttar Pradesh,2019,"40,800"
259,"Government Medical College",Badaun,Uttar Pradesh,2019,"36,000"
260,"Government Medical College",Shahjahanpur,Uttar Pradesh,2019,"40,800"
261,"Government Medical College",Basti,Uttar Pradesh,2019,"36,000"
262,"Rajkiya Allopathic Medical College",Bahraich,Uttar Pradesh,2019,"36,000"
263,"Autonomous State Medical College",Etawah,Uttar Pradesh,2021,"42,000"
264,"Maharshi Devraha Baba State Medical College",Deoria,Uttar Pradesh,2021,"40,800"
265,"Autonomous State Medical College",Fatehpur,Uttar Pradesh,2021,"36,000"
266,"Autonomous State Medical College",Siddharthnagar,Uttar Pradesh,2021,"40,800"
267,"Autonomous State Medical College",Hardoi,Uttar Pradesh,2021,"40,800"
268,"Autonomous State Medical College",Pratapgarh,Uttar Pradesh,2021,"36,000"
269,"Autonomous State Medical College",Mirzapur,Uttar Pradesh,2021,"36,000"
270,"Autonomous State Medical College",Jaunpur,Uttar Pradesh,2021,"40,800"
271,"Autonomous State Medical College",Ghazipur,Uttar Pradesh,2021,"36,000"
272,"AIIMS Bibinagar",Hyderabad,Telangana,2019,"5,856"
273,"Gandhi Medical College",Secunderabad,Telangana,1954,"29,000"
274,"Osmania Medical College",Hyderabad,Telangana,1846,"29,000"
275,"Kakatiya Medical College",Warangal,Telangana,1946,"12,000"
276,"ESIC Medical College",Hyderabad,Telangana,2016,"41,000"
277,"Government Medical College",Mahabubnagar,Telangana,2016,"1,00,000"
278,"Government Medical College",Siddipet,Telangana,2018,"12,000"
279,"Rajiv Gandhi Institute of Medical Sciences",Adilabad,Telangana,2008,"41,000"
280,"Government Medical College",Nalgonda,Telangana,2019,"12,000"
281,"Government Medical College",Suryapet,Telangana,2019,"29,000"
282,"Government Medical College",Sangareddy,Telangana,2022,"41,000"
283,"Government Medical College, Nizamabad",Nizamabad,Telangana,2013,"59,200"
284,"Government Medical College",Mahabubabad,Telangana,2016,"16,065"
285,"Government Medical College",Kothagudem,Telangana,2022,"59,200"
286,"Government Medical College",Mancherial,Telangana,2022,"41,000"
287,"Government Medical College",Jagtial,Telangana,2022,"29,000"
288,"Government Medical College",Wanaparthy,Telangana,2022,"41,000"
289,"Government Medical College",Nagarkurnool,Telangana,2023,"41,000"
290,"Government Medical College",Ramagundam,Telangana,2023,"59,200"
291,"Government Medical College",Karimnagar,Telangana,2023,"41,000"
292,"Government Medical College",Khammam,Telangana,2023,"41,000"
293,"Government Medical College",Asifabad,Telangana,2023,"41,000"
294,"Government Medical College",Vikarabad,Telangana,2023,"41,000"
295,"Government Medical College",Sircilla,Telangana,2023,"41,000"
296,"Government Medical College",Kamareddy,Telangana,2023,"41,000"
297,"Government Medical College",Jangaon,Telangana,2023,"41,000"
298,"Government Medical College",Bhupalpally,Telangana,2023,"41,000"
299,"Government Medical College",Nirmal,Telangana,2023,"59,200"
300,"AIIMS Kalyani",Kalyani,West Bengal,2019,"5,826"
301,"Medical College Kolkata",Kolkata,West Bengal,1838,"6,520"
302,"Nilratan Sircar Medical College",Kolkata,West Bengal,1948,"9,000"
303,"IPGMER",Kolkata,West Bengal,1957,"6,500"
304,"R.G. Kar Medical College",Kolkata,West Bengal,1916,"6,520"
305,"Calcutta National Medical College",Kolkata,West Bengal,1948,"6,500"
306,"College of Medicine & Sagar Dutta Hospital",Kolkata,West Bengal,2011,"9,000"
307,"Burdwan Medical College",Burdwan,West Bengal,1969,"9,000"
308,"College of Medicine & JNM Hospital",Kalyani,West Bengal,2010,"9,166"
309,"Bankura Sammilani Medical College",Bankura,West Bengal,1956,"9,166"
310,"North Bengal Medical College",Darjeeling,West Bengal,1968,"6,500"
311,"Midnapore Medical College",Midnapore,West Bengal,2001,"11,144"
312,"ESIC PGIMSR, Joka",Kolkata,West Bengal,2013,"1,00,000"
313,"Murshidabad Medical College",Murshidabad,West Bengal,2012,"9,144"
314,"Malda Medical College",Malda,West Bengal,2011,"6,500"
315,"Diamond Harbour Government Medical College",Diamond Harbour,West Bengal,2019,"11,350"
316,"Rampurhat Government Medical College",Rampurhat,West Bengal,2019,"9,166"
317,"Raiganj Government Medical College",Raiganj,West Bengal,2019,"6,520"
318,"Maharaja Jitendra Narayan Medical College",Cooch Behar,West Bengal,2019,"11,020"
319,"Deben Mahata Purulia Government Medical College",Purulia,West Bengal,2020,"11,020"
320,"Barasat Government Medical College",Barasat,West Bengal,2022,"11,144"
321,"Jalpaiguri Government Medical College",Jalpaiguri,West Bengal,2022,"11,144"
322,"Prafulla Chandra Sen Government Medical College",Arambagh,West Bengal,2022,"11,144"
323,"Jhargram Government Medical College",Jhargram,West Bengal,2022,"11,144"
324,"Sarat Chandra Chattopadhyay GMC",Uluberia,West Bengal,2022,"11,144"
325,"Tamralipto Government Medical College",Tamluk,West Bengal,2022,"11,144"
326,"Andaman & Nicobar Islands Inst. of Med. Sciences",Port Blair,Andaman,2015,"79,100"
327,"JIPMER Puducherry",Puducherry,Pondicherry,1956,"6,770"
328,"JIPMER Karaikal",Karaikal,Pondicherry,2016,"6,770"
329,"Indira Gandhi Medical College & RI",Puducherry,Pondicherry,2010,"1,43,700"
330,"Nagaland Institute of Medical Sciences",Kohima,Nagaland,2023,"1,33,900"
331,"NEIGRIHMS Shillong",Shillong,Meghalaya,2008,"47,600"
332,"Government Medical College & Hospital",Chandigarh,Chandigarh,1991,"24,979"
333,"Tomo Riba Institute of Health & Medical Sciences",Naharlagun,Arunachal Pradesh,2018,"77,100"
334,"Zoram Medical College",Falkawn,Mizoram,2018,"96,850"
335,"Shri Vinoba Bhave Institute of Medical Sciences",Silvassa,Dadra & NH,2019,"60,100"
336,"Goa Medical College",Panaji,Goa,1946,"79,000"
337,"Agartala Government Medical College",Agartala,Tripura,2005,"75,100"
