,,,,,,
,,,,,,
,,,,,,
State,S.No,College,City,Fees Per Year,,
Maharashtra,19,"Sindhudurg Shikshan Prasarak Mandal Medical College & Lifetime Hospital,",Sindhudurg,"8,25,000",,
Maharashtra,20,Dr. N.Y. Tasgaonkar Institute of Medical Science,Raigad,"7,27,273",,
Maharashtra,21,"Bharatratna Atal Bihari Vajpayee Medical College, and Teaching Hospital",Pune,"6,81,818",,
Maharashtra,22,Shri Dhaneshwari Manav Vikas Mandal's College,Parbhani,"8,00,000",,
Maharashtra,23,"Dr. Rajendra Gode Medical College,",Amravati,"8,00,000",,
Gujarat,1,GMERS Medical College,Ahmedabad,"3,30,000",,
Gujarat,2,GMERS Medical College,Vadodara,"3,30,000",,
Gujarat,3,GMERS Medical College,Gandhinagar,"3,30,000",,
Gujarat,4,GMERS Medical College,Patan,"3,30,000",,
Gujarat,5,GMERS Medical College,Valsad,"3,30,000",,
Gujarat,6,GMERS Medical College,Junagadh,"3,30,000",,
Gujarat,7,GMERS Medical College,Himmatnagar,"3,30,000",,
Gujarat,8,GMERS Medical College,Vadnagar,"3,30,000",,
Gujarat,9,"Smt. N.H.L. Municipal Medical College,",Ahmedabad,"5,93,000",,
Gujarat,10,"Narendra Modi Medical College,",Ahmedabad,"7,71,000",,
Gujarat,11,Surat Municipal Institute of Medical Education & Research,Surat,"7,65,000",,
Gujarat,12,"Pramukh Swami Medical College,",Karamsad,"8,70,000",,
Gujarat,13,"C.U. Shah Medical College,",Surendranagar,"6,26,000",,
Gujarat,14,Gujarat Adani Institute of Medical Sciences,Bhuj,"6,65,000",,
Gujarat,15,GCS Medical College and Research Center,Ahmedabad,"8,60,000",,
Gujarat,16,"Parul Institute of Medical Science and Research,",Vadodara,"8,25,000",,
Gujarat,17,Banas Medical College & Research Institute,Palampur,"7,65,000",,
Gujarat,18,Zydus Medical College and Hospital,Dahod,"7,65,000",,
Gujarat,19,Dr. N.D. Desai Faculty of Medical Science and Research,Nadiad,"7,85,000",,
Gujarat,20,"Nootan Medical College and Research Centre,",Visnagar,"7,85,000",,
Gujarat,21,"Dr. M.K. Shah Medical College & Research Centre,",Ahmedabad,"8,65,000",,
Gujarat,22,"Shantabaa Medical College,",Amreli,"6,85,000",,
Gujarat,23,"Dr Kiran C Patel Medical College & Research Institute,",Bharuch,"6,85,000",,
Gujarat,24,GMERS Medical College,Porbandar,"3,30,000",,
Gujarat,25,GMERS Medical College,Godhra,"3,30,000",,
Gujarat,26,GMERS Medical College,Rajpipla,"3,30,000",,
Gujarat,27,GMERS Medical College,Morbi,"3,30,000",,
Gujarat,28,GMERS Medical College,Navsari,"3,30,000",,
Gujarat,29,SAL Institute of Medical Sciences,Ahmedabad,"8,65,000",,
Gujarat,30,Swaminarayan Institute of Medical Sciences & Reasearch,Gandhinagar,"8,25,000",,
Gujarat,31,Ananya College of Medicine & Research,Gandhinagar,"8,25,000",,
Gujarat,32,Kiran Medical College,Surat,"8,65,000",,
Rajasthan,1,American Int. Inst. of Med. Sc.,Udaipur,"25,00,000",,
Rajasthan,2,Ananta Institute of Med. Sc,Rajsamand,"24,00,000",,
Rajasthan,3,Geetanjali Medical College & Hospital,Udaipur,"28,00,000",,
Rajasthan,4,JNU Institute for Medical Sciences & Research Centre,Jaipur,"25,50,000",,
Rajasthan,5,NIMS,Jaipur,"22,00,000",,
Rajasthan,6,Pacific Insti Of MS,Udaipur,"35,00,000",,
Rajasthan,7,Pacific MC & Hospital,Udaipur,"23,50,000",,
Rajasthan,8,"Dr. SS Tantia Medical College, Hospital & RC",Sriganganagar,"26,75,000",,
Rajasthan,9,Mahatma Gandhi Medical College,Jaipur,"26,75,000",,
Pondicherry,1,Pondicherry Institute of Medical Sciences & Research,Pondicherry,"16,80,000",,
Pondicherry,2,Sri Manakula Vinayagar Medical College & Hospital,Pondicherry,"16,80,000",,
Pondicherry,3,"Sri Venkateswara Medical College, Hospital & Research Centre",Pondicherry,"16,80,000",,
Chhattisgarh,1,Raipur Institute of Medical Sciences,Raipur,"7,45,187",,
Chhattisgarh,2,Shri Shankaracharya IMS,Bhilai,"7,99,187",,
Chhattisgarh,3,Shri Balaji Institute of Medical Science,Raipur,"7,50,187",,
Uttarakhand,1,Himalayan Institute of Medical Science,Dehradun,"20,50,000",,
Uttarakhand,2,Shri Guru Ram Rai Institute of Medical & Health Sciences,Dehradun,"17,50,000",,
Uttarakhand,3,Gautam Buddha Chikitsa Mahavidyalaya,Dehradun,"13,22,000",,
Odisha,1,Hi-Tech Medical College & Hospital,Rourkela,"5,64,500",,
Odisha,2,Hi-Tech Medical College & Hospital,Bhubaneshwar,"6,50,000",,
Himachal Pradesh,1,Maharishi Markandeshwar Medical College & Hospital,Solan,"15,97,000",,
Manipur,1,Shija Academy Of Health Sciences,Imphal West,"19,00,000",,
Jharkhand,1,Laxmi Chandravansi Medical & Hospital,Palamu,"10,25,000",,
Sikkim,1,Sikkim Manipal Institute of Medical Sciences,Gangtok,"18,70,000",,
Jammu & Kashmir,1,Acharya Shri Chander College of Medical Sciences,Jammu,"4,95,000",,
