S.no,College,State,Fees,ESTD
5,King George Med Coll. Lucknow,Uttar Pradesh,54600,1911
6,Dr. Ram Manohar Lohia Lucknow,Uttar Pradesh,18000,2012
7,GSVM MC Kanpur,Uttar Pradesh,36000,1955
8,Moti Lal Nehru MC Prayagraj,Uttar Pradesh,42000,1961
9,LLRM MC Meerut,Uttar Pradesh,42000,1966
10,"Govt. IMS, Kasna, Greater Noida",Uttar Pradesh,83600,2019
11,S N MC Agra,Uttar Pradesh,36000,1939
12,BRD MC Gorakhpur,Uttar Pradesh,42000,1972
13,Maharani Laxmi Bai MC Jhansi,Uttar Pradesh,42000,1968
14,UP University of MS Saifai Etawah,Uttar Pradesh,42000,2006
15,Government MC Saharanpur,Uttar Pradesh,32000,2015
16,Government MC Ambedkar Nagar,Uttar Pradesh,36000,2011
17,Government MC Kannauj,Uttar Pradesh,36000,2012
18,Government MC Jalaun,Uttar Pradesh,40800,2011
19,Government MC Azamgarh,Uttar Pradesh,40800,2013
20,Government MC Banda,Uttar Pradesh,40800,2016
21,Government MC Ayodhya,Uttar Pradesh,40800,2019
22,Government MC Firozabad,Uttar Pradesh,40800,2019
23,Government MC Badaun,Uttar Pradesh,36000,2019
24,Government MC Shahjahanpur,Uttar Pradesh,40800,2019
25,Government MC Rampur Basti,Uttar Pradesh,36000,2019
26,Rajkiya Allopathic MC Bahraich,Uttar Pradesh,36000,2019
27,Autonomous State MC Etawah,Uttar Pradesh,42000,2021
28,Maharshi Devraha Baba MC Deoria,Uttar Pradesh,40800,2021
29,Autonomous State MC Fatehpur,Uttar Pradesh,36000,2021
30,Autonomous State MC Sideharthnagar,Uttar Pradesh,40800,2021
31,Autonomous State MC Hardoi,Uttar Pradesh,40800,2021
32,Autonomous State MC Pratapgarh,Uttar Pradesh,36000,2021
33,Autonomous State MC Mirzapur,Uttar Pradesh,36000,2021
34,Autonomous State MC Jaunpur,Uttar Pradesh,40800,2021
35,Autonomous State MC Ghazipur,Uttar Pradesh,36000,2021
1,AIIMS, Bibi Nagar, HYD.,Telangana,5856,2019
2,Gandhi MC, Musheerabad Secunderabad,Telangana,29000,1954
3,Osmania MC, Koti,Telangana,29000,1954
4,Kakatiya MC, Warangal,Telangana,12000,1946
5,ESIC MC, Hyderabad,Telangana,41000,2016
6,Government MC, Mahabubnagar,Telangana,100000,2016
7,Government MC, Siddipet,Telangana,12000,2018
8,Rajiv Gandhi IMS of Adilabad,Telangana,41000,2008
9,Govt MC Nalgonda,Telangana,12000,2019
10,Government MC, Suryapet,Telangana,29000,2019
11,Government MC, Sangareddy,Telangana,41000,2022
12,GMC Khaledwadi, Nizamabad,Telangana,59200,2013
13,Government MC, Mahabubabad,Telangana,16065,2016
14,GMC Bhadradri Kothagudem,Telangana,59200,2022
15,GMC Mancherial,Telangana,41000,2022
16,Government MC, Jagtial,Telangana,29000,2022
17,GMC Wanaparthy,Telangana,41000,2022
18,GMC Nagarkurnool,Telangana,41000,2023
19,GMC Ramagundam,Telangana,59200,2023
20,GMC Karimnagar,Telangana,41000,2023
21,GMC, Khammam,Telangana,41000,2023
22,GMC Kumuram Bheem Asifabad,Telangana,41000,2023
23,GMC, Vikarabad,Telangana,41000,2023
24,GMC, Rajanna Sircilla,Telangana,41000,2023
25,GMC, Kamareddy,Telangana,41000,2023
26,GMC, Jangaon,Telangana,41000,2023
27,GMC, Jayashankar Bhupally,Telangana,41000,2023
28,GMC, Nirmal,Telangana,59200,2023
1,AIIMS, Kalyani,West Bengal,5826,2019
2,Medical College, Kolkata,West Bengal,6520,1838
3,Nilratan Sircar MC, Kolkata,West Bengal,9000,1948
4,IPGMER, Kolkata,West Bengal,6500,1957
5,R.G. Kar MC, Kolkata,West Bengal,6520,1916
6,Calcutta National MC, Kolkata,West Bengal,6500,1948
7,Sagar Dutta MC & Hospital,West Bengal,9000,2011
8,Burdwan MC, Burdwan,West Bengal,9000,1969
9,COM & JNM Hosp., Kalyani,West Bengal,9166,2010
10,Bankura Sammilani, Bankura,West Bengal,9166,1956
11,North Bengal MC, Darjeeling,West Bengal,6500,1968
12,Midnapore MC, Midnapore,West Bengal,11144,2001
13,ESIC PGIMSR, Joka, Kolkata,West Bengal,100000,2013
14,Murshidabad MCH, Murshidabad,West Bengal,9144,2012
15,Malda Med Coll, Malda,West Bengal,6500,2011
16,Diamond Harbour Govt MC,West Bengal,11350,2019
17,Rampurhat GMC, Rampurhat,West Bengal,9166,2019
18,Raiganj Govt MC,West Bengal,6520,2019
19,Maharaja Jitendra Nar, Coochbehar,West Bengal,11020,2019
20,Deben Mahata Purulia GMC,West Bengal,11020,2020
21,Barasat Government MC & Hospital,West Bengal,11144,2022
22,Jalpaiguri Government MC,West Bengal,11144,2022
23,Prafulla Chandra Sen GMC,West Bengal,11144,2022
24,Jhargram GMC, Jhargram,West Bengal,11144,2022
25,Sarat Chandra Chattopadhyay GMC,West Bengal,11144,2022
26,Tamralipto GMC,West Bengal,11144,2022
1,Andaman & Nicobar IMS Port Blair,Andaman,79100,2015
1,JIPMER Puducherry,Pondicherry,6770,1956
2,JIPMER Karaikal,Pondicherry,6770,2016
3,Indira Gandhi MC & RI Puducherry,Pondicherry,143700,2010
1,Nagaland IMS,Nagaland,133900,2023
1,NEIGRIHMS Shillong,Meghalaya,47600,2008
1,GMC & HOSP Chandigarh,Chandigarh,24979,1991
1,Tomo Riba IHMS Naharlagun,Arunachal Pradesh,77100,2018
1,Zoram MC Falkawn,Mizoram,96850,2018
1,Shri Vinobha Bhave IMS,Dadra & NH,60100,2019
1,Goa MC Panaji,Goa,79000,1946
1,Agartala Govt. MC. Agartala,Tripura,75100,2005
